Zeit;Kanal A
(ms);(mV)

-25.00824817;10.98487000
-25.00324817;10.42630000
-24.99824817;10.05413000
-24.99324817;9.49557100
-24.98824817;10.23991000
-24.98324817;7.63348900
-24.97824817;9.30917700
-24.97324817;7.81988100
-24.96824817;7.63348900
-24.96324817;8.19205200
-24.95824817;7.63348900
-24.95324817;7.07492600
-24.94824817;6.51636300
-24.94324817;6.32997000
-24.93824817;5.21284400
-24.93324817;4.84067400
-24.92824817;3.35137800
-24.92324817;4.09571800
-24.91824817;3.72354800
-24.91324817;3.90994000
-24.90824817;3.90994000
-24.90324817;5.02706700
-24.89824817;3.90994000
-24.89324817;5.21284400
-24.88824817;4.84067400
-24.88324817;4.84067400
-24.87824817;5.58562900
-24.87324817;5.77140700
-24.86824817;5.21284400
-24.86324817;5.95780000
-24.85824817;6.14419300
-24.85324817;5.39923700
-24.84824817;4.46850300
-24.84324817;4.28211100
-24.83824817;4.28211100
-24.83324817;3.72354800
-24.82824817;2.79281500
-24.82324817;2.60642200
-24.81824817;2.79281500
-24.81324817;1.67568900
-24.80824817;2.23425200
-24.80324817;2.42002900
-24.79824817;2.79281500
-24.79324817;2.97859200
-24.78824817;3.16498500
-24.78324817;3.35137800
-24.77824817;3.35137800
-24.77324817;2.97859200
-24.76824817;4.28211100
-24.76324817;3.72354800
-24.75824817;3.72354800
-24.75324817;2.42002900
-24.74824817;2.42002900
-24.74324817;2.04785900
-24.73824817;1.86146600
-24.73324817;1.86146600
-24.72824817;1.30290300
-24.72324817;0.55856290
-24.71824817;0.37217020
-24.71324817;0.37217020
-24.70824817;-0.55856290
-24.70324817;-0.55856290
-24.69824817;-1.30290300
-24.69324817;-2.42002900
-24.68824817;-2.97859200
-24.68324817;-3.90994000
-24.67824817;-4.84067400
-24.67324817;-5.39923700
-24.66824817;-7.26131900
-24.66324817;-7.07492600
-24.65824817;-9.68134800
-24.65324817;-11.54343000
-24.64824817;-13.40551000
-24.64324817;-14.52264000
-24.63824817;-15.26759000
-24.63324817;-16.01193000
