Zeit(ms),KanalA(mV)

-25.00824817,10.98487000
-25.00324817,10.42630000
-24.99824817,10.05413000
-24.99324817,9.49557100
-24.98824817,10.23991000
-24.98324817,7.63348900
-24.97824817,9.30917700
-24.97324817,7.81988100
-24.96824817,7.63348900
-24.96324817,8.19205200
-24.95824817,7.63348900
-24.95324817,7.07492600
-24.94824817,6.51636300
-24.94324817,6.32997000
-24.93824817,5.21284400
-24.93324817,4.84067400
-24.92824817,3.35137800
-24.92324817,4.09571800
-24.91824817,3.72354800
-24.91324817,3.90994000
-24.90824817,3.90994000
-24.90324817,5.02706700
-24.89824817,3.90994000
-24.89324817,5.21284400
-24.88824817,4.84067400
-24.88324817,4.84067400
-24.87824817,5.58562900
