Zeit;Kanal A
(ms);(V)

0.00000000;2.60980600
0.00005600;2.51660900
0.00011200;2.60980600
0.00016800;2.60980600
0.00022400;2.60980600
0.00028000;2.60980600
0.00033600;2.60980600
0.00039200;2.60980600
0.00044800;2.51660900
0.00050400;2.60980600
0.00056000;2.60980600
0.00061600;2.60980600
0.00067200;2.60980600
0.00072800;2.60980600
0.00078400;2.60980600
0.00084000;2.60980600
0.00089600;2.60980600
0.00095200;2.60980600
0.00100800;2.60980600
0.00106400;2.60980600
0.00112000;2.60980600
0.00117600;2.60980600
0.00123200;2.60980600
0.00128800;2.60980600
0.00134400;2.60980600
0.00140000;2.60980600
0.00145600;2.60980600
0.00151200;2.60980600
0.00156800;2.60980600
0.00162400;2.60980600
0.00168000;2.60980600
0.00173600;2.60980600
0.00179200;2.60980600
0.00184800;2.60980600
0.00190400;2.60980600
0.00196000;2.70300200
0.00201600;2.70300200
0.00207200;2.60980600
0.00212800;2.60980600
0.00218400;2.60980600
0.00224000;2.60980600
0.00229600;2.70300200
0.00235200;2.70300200
0.00240800;2.70300200
0.00246400;2.70300200
0.00252000;2.70300200
0.00257600;2.70300200
0.00263200;2.60980600
0.00268800;2.70300200
0.00274400;2.70300200
0.00280000;2.60980600
0.00285600;2.70300200
0.00291200;2.70300200
0.00296800;2.70300200
0.00302400;2.70300200
0.00308000;2.70300200
0.00313600;2.70300200
0.00319200;2.70300200
0.00324800;2.70300200
0.00330400;2.70300200
0.00336000;2.70300200
0.00341600;2.79619800
0.00347200;2.70300200
0.00352800;2.70300200
0.00358400;2.70300200
0.00364000;2.70300200
0.00369600;2.70300200
0.00375200;2.70300200
0.00380800;2.70300200
0.00386400;2.70300200
0.00392000;2.70300200
0.00397600;2.70300200
0.00403200;2.70300200
0.00408800;2.70300200
0.00414400;2.70300200
0.00420000;2.70300200
0.00425600;2.70300200
0.00431200;2.79619800
0.00436800;2.79619800
0.00442400;2.70300200
0.00448000;2.79619800
0.00453600;2.79619800
0.00459200;2.79619800
0.00464800;2.79619800
0.00470400;2.70300200
0.00476000;2.79619800
0.00481600;2.79619800
0.00487200;2.79619800
0.00492800;2.79619800
0.00498400;2.79619800
0.00504000;2.79619800
0.00509600;2.79619800
0.00515200;2.79619800
0.00520800;2.79619800
0.00526400;2.79619800
0.00532000;2.79619800
0.00537600;2.79619800
0.00543200;2.79619800
0.00548800;2.79619800
0.00554400;2.79619800
0.00560000;2.79619800
0.00565600;2.79619800
0.00571200;2.79619800
0.00576800;2.79619800
0.00582400;2.79619800
0.00588000;2.79619800
0.00593600;2.79619800
0.00599200;2.79619800
0.00604800;2.79619800
0.00610400;2.79619800
0.00616000;2.79619800
0.00621600;2.79619800
0.00627200;2.88939500
0.00632800;2.79619800
0.00638400;2.79619800
0.00644000;2.88939500
0.00649600;2.79619800
0.00655200;2.88939500
0.00660800;2.79619800
0.00666400;2.88939500
0.00672000;2.88939500
0.00677600;2.88939500
0.00683200;2.79619800
0.00688800;2.88939500
0.00694400;2.88939500
0.00700000;2.88939500
0.00705600;2.88939500
0.00711200;2.88939500
